country,COL,COL,COL,COL,COL,COL,COL,COL,COL
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
2010-03,100.0712,101.1939,97.88541,98.92326,9.23315,78.33971,98.69851,97.82158,80.03206
2010-04,100.301,101.758,98.51057,99.24219,9.90557,79.1304,98.70463,97.83061,80.32682
2010-05,100.4306,102.3232,99.20465,99.59628,10.38104,79.98234,98.72018,97.85357,80.62358
2010-06,100.5901,102.9102,99.9037,99.95291,10.69953,80.84441,98.74875,97.89576,80.92233
2010-07,100.7575,103.4751,100.559,100.2872,10.87783,81.67706,98.80037,97.97197,81.22305
2010-08,100.9306,104.0051,101.094,100.5602,10.93733,82.41763,98.88641,98.09899,81.52571
2010-09,100.7375,103.9542,101.4095,100.7211,10.82257,82.98366,99.0128,98.28561,81.83026
2010-10,100.5734,103.4074,101.5182,100.7766,10.52963,83.38364,99.17065,98.51866,82.13663
2010-11,100.635,102.6401,101.5082,100.7714,10.14501,83.68816,99.34524,98.77642,82.44476
2010-12,101.0956,101.9207,101.4231,100.728,9.733191,83.93222,99.52259,99.03826,82.75456
2011-01,101.6347,101.6235,101.3314,100.6813,9.289398,84.17188,99.69472,99.29239,83.06594
2011-02,102.0937,101.6093,101.2998,100.6651,8.803906,84.46254,99.85817,99.53371,83.37879
2011-03,102.1494,101.4699,101.3476,100.6896,8.273162,84.82088,100.0128,99.76204,83.69301
2011-04,101.9636,101.2122,101.4351,100.7341,7.688129,85.21405,100.1611,99.9809,84.00849
2011-05,101.914,101.4254,101.5336,100.7844,7.046502,85.6183,100.3044,100.1926,84.32511
2011-06,101.8961,102.1912,101.5325,100.7839,6.302851,85.9399,100.4406,100.3936,84.64277
2011-07,101.9038,102.6109,101.3886,100.7104,5.465453,86.14108,100.5603,100.5704,84.96134
2011-08,101.7771,102.5931,101.1884,100.6083,4.703573,86.2942,100.6525,100.7065,85.28071
