country,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
2012-06,97.71877,99.71879,100.7216,100.6119,3.553123,90.37716,99.8175,99.63401,89.72968
2012-07,97.45398,98.81116,100.3499,100.2974,3.267437,90.34724,99.7003,99.49216,90.03223
2012-08,97.16943,97.43676,100.045,100.0395,3.04791,90.37595,99.6143,99.38805,90.33527
2012-09,96.98806,96.74413,99.84563,99.87081,2.871259,90.49889,99.55627,99.31783,90.63881
2012-10,96.93586,96.975,99.74609,99.78659,2.740198,90.71192,99.53022,99.28629,90.94284
2012-11,97.0713,97.48194,99.74628,99.78676,2.659484,91.01586,99.54446,99.30354,91.24737
2012-12,97.54403,97.80035,99.82088,99.84988,2.621362,91.3884,99.60647,99.37859,91.55238
2013-01,98.31139,98.00813,99.92374,99.93689,2.594153,91.7878,99.71483,99.50974,91.85785
2013-02,98.81699,98.1036,99.99466,99.99689,2.569089,92.15884,99.8625,99.68848,92.16377
2013-03,98.93523,98.07495,100.0337,100.0299,2.59231,92.5013,100.0366,99.89922,92.47011
2013-04,98.83212,97.71619,100.0347,100.0308,2.713163,92.80906,100.2153,100.1155,92.77683
2013-05,98.70544,96.92706,100.0154,100.0144,2.973243,93.09822,100.375,100.3088,93.08392
2013-06,98.71169,96.47564,99.98599,99.98956,3.320643,93.37826,100.4971,100.4566,93.39134
2013-07,98.8442,96.73877,99.9565,99.96461,3.664826,93.65831,100.5765,100.5527,93.69907
2013-08,99.009,97.16311,99.93716,99.94825,3.952439,93.948,100.6156,100.6,94.00707
2013-09,98.98745,97.64385,99.92899,99.94133,4.143128,94.24837,100.6221,100.6079,94.31535
2013-10,98.93605,98.29195,99.95615,99.96431,4.266752,94.58237,100.6091,100.5922,94.62387
2013-11,98.96171,98.39337,100.0007,100.002,4.304132,94.9333,100.59,100.569,94.93264
