country,G4E,G4E,G4E,G4E,G4E,G4E,G4E,G4E,G4E
subject,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPOR_GYSA,LORSGPOR_IXOBSA,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Percentage,Index,Index,Percentage,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,2010=100,,
time,,,,,,,,,
1970-03,99.94734,100.014,2.502258,40.06327,100.424,4.410501,40.21939,100.3349,40.08438
1970-04,99.78967,99.89442,2.304688,40.14872,100.6255,4.601391,40.46567,100.5755,40.23335
1970-05,99.63245,99.77724,2.160658,40.2337,100.8331,4.825253,40.71542,100.8234,40.38213
1970-06,99.4806,99.66523,2.095713,40.32016,101.0132,5.050585,40.95213,101.0379,40.53068
1970-07,99.33449,99.55892,2.109263,40.40822,101.1398,5.252141,41.16292,101.1878,40.67895
1970-08,99.20087,99.46313,2.189054,40.50063,101.1923,5.403694,41.33739,101.2485,40.82689
1970-09,99.08868,99.38374,2.336404,40.60107,101.1565,5.476927,41.46844,101.2036,40.97448
1970-10,99.00011,99.3222,2.514127,40.71049,101.0316,5.443659,41.55562,101.0534,41.12166
1970-11,98.94286,99.28381,2.700003,40.83215,100.828,5.284036,41.60398,100.8112,41.26842
1970-12,98.90688,99.26048,2.871176,40.96201,100.5719,5.002211,41.62609,100.5085,41.41472
1971-01,98.87788,99.2406,3.012315,41.09418,100.3151,4.637696,41.64663,100.2052,41.56054
1971-02,98.8549,99.22297,3.13667,41.22828,100.1132,4.248191,41.6923,99.96562,41.70586
1971-03,98.84366,99.21078,3.263921,41.36671,100.0049,3.885097,41.78196,99.83401,41.85064
1971-04,98.85571,99.21195,3.419493,41.51432,99.98738,3.581026,41.91475,99.80736,41.99487
1971-05,98.8925,99.22842,3.604029,41.67183,100.0358,3.34957,42.07921,99.85739,42.13851
1971-06,98.9469,99.25609,3.804081,41.83627,100.1158,3.19122,42.25901,99.94482,42.28154
1971-07,99.02748,99.30144,4.027957,42.01133,100.1914,3.094233,42.43659,100.028,42.42392
1971-08,99.12359,99.35784,4.255489,42.19257,100.2324,3.046829,42.59686,100.0715,42.56562
1971-09,99.25867,99.4444,4.500345,42.39001,100.2215,3.044873,42.7311,100.0554,42.70661
