country,HUN,HUN,HUN,HUN,HUN,HUN,HUN,HUN,HUN
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
2009-11,96.88519,97.44366,98.65248,99.24166,2.186141,90.79687,98.07177,97.03008,92.03708
2009-12,97.6622,97.52003,99.24832,99.57535,4.027566,91.29465,98.15461,97.14164,91.98609
2010-01,98.36888,97.66355,99.77944,99.87279,5.478498,91.73492,98.25465,97.27637,91.93771
2010-02,98.80319,97.90824,100.2658,100.1452,6.500008,92.13641,98.3802,97.44544,91.89213
2010-03,99.1977,98.34641,100.7129,100.3956,7.091539,92.50439,98.5353,97.65433,91.84956
2010-04,99.30222,98.92587,101.1043,100.6147,7.283822,92.82402,98.71348,97.89429,91.81019
2010-05,99.51888,99.57108,101.4317,100.7981,7.102913,93.08811,98.90316,98.14974,91.77415
2010-06,99.67048,100.0371,101.6908,100.9432,6.63028,93.29274,99.09135,98.40318,91.74162
2010-07,99.96467,100.271,101.8993,101.06,5.980019,93.45462,99.26629,98.63879,91.7127
2010-08,100.3324,100.5471,102.0613,101.1507,5.257874,93.57747,99.41968,98.84535,91.68753
2010-09,100.5361,100.7577,102.1807,101.2176,4.537365,93.66522,99.54951,99.0202,91.66621
2010-10,100.7953,100.9477,102.2792,101.2727,3.881096,93.73774,99.6644,99.17493,91.64886
2010-11,101.3409,100.9925,102.3636,101.32,3.309153,93.80148,99.77557,99.32465,91.63557
2010-12,101.9143,100.8133,102.4202,101.3517,2.792474,93.84403,99.88957,99.47819,91.62646
2011-01,102.3229,100.5137,102.4211,101.3522,2.294577,93.83986,100.0011,99.62836,91.62158
2011-02,102.5096,100.0842,102.3384,101.3059,1.765996,93.76353,100.1004,99.76214,91.62105
2011-03,102.4132,99.56156,102.1635,101.2079,1.192253,93.60728,100.1812,99.87087,91.62493
2011-04,102.1574,99.20676,101.8999,101.0603,0.5927514,93.37424,100.2483,99.96127,91.63332
2011-05,101.3685,98.92306,101.5426,100.8602,-0.03016753,93.06003,100.3118,100.0469,91.6463
2011-06,100.6661,98.65278,101.1296,100.6289,-0.6360067,92.69939,100.3813,100.1404,91.66396
2011-07,99.92939,98.49321,100.7174,100.398,-1.188298,92.3441,100.4597,100.246,91.68638
2011-08,99.37515,98.3657,100.346,100.1901,-1.652648,92.03096,100.5416,100.3563,91.71365
2011-09,99.00668,98.03538,100.0405,100.019,-2.009468,91.78305,100.6094,100.4476,91.74585
2011-10,98.6312,97.64417,99.81568,99.89309,-2.265711,91.61391,100.6297,100.475,91.78309
2011-11,98.44311,97.30009,99.65786,99.8047,-2.441552,91.51126,100.5684,100.3923,91.82544
2011-12,98.56752,96.99306,99.53371,99.73518,-2.556818,91.44461,100.4087,100.1774,91.87301
2012-01,98.95329,96.91107,99.40705,99.66424,-2.620456,91.38082,100.1751,99.86273,91.9259
2012-02,99.57052,97.11797,99.24812,99.57524,-2.635256,91.29263,99.90938,99.50486,91.98424
2012-03,99.99802,97.29998,99.06231,99.47118,-2.5877,91.185,99.6526,99.15905,92.04813
2012-04,99.77204,97.29977,98.85198,99.35339,-2.478298,91.06014,99.42904,98.85797,92.11768
2012-05,98.95163,97.07426,98.65803,99.24477,-2.261169,90.95578,99.25044,98.61745,92.19299
2012-06,98.34458,96.97451,98.52818,99.17205,-1.923782,90.91606,99.11765,98.43861,92.27416
2012-07,98.02023,96.95052,98.4835,99.14703,-1.498176,90.96062,99.01852,98.30511,92.36128
2012-08,97.78224,96.91665,98.51126,99.16257,-1.035461,91.07802,98.93793,98.19656,92.45442
2012-09,97.81508,96.90148,98.58494,99.20383,-0.58736,91.24395,98.86486,98.09817,92.55364
2012-10,98.11691,96.85793,98.67104,99.25206,-0.2033544,91.42761,98.79792,98.00801,92.659
2012-11,98.30578,96.95806,98.70773,99.27261,0.0660558,91.57171,98.74271,97.93366,92.77055
2012-12,98.44481,97.31509,98.6638,99.248,0.2214819,91.64714,98.70855,97.88765,92.88831
2013-01,98.50446,97.8972,98.55415,99.18659,0.3136976,91.66748,98.70396,97.88148,93.01231
2013-02,98.19668,98.43619,98.38724,99.09312,0.3809087,91.64037,98.73625,97.92496,93.14254
2013-03,97.74712,98.86594,98.2185,98.99862,0.4740212,91.61723,98.80849,98.02225,93.279
2013-04,97.55888,99.14705,98.09438,98.92911,0.638319,91.6414,98.91984,98.1722,93.42166
2013-05,98.12538,99.38225,98.0607,98.91025,0.8796522,91.75587,99.06386,98.36616,93.57049
2013-06,98.74285,99.46548,98.13858,98.95387,1.171134,91.9808,99.22996,98.58985,93.72543
2013-07,99.03671,99.54568,98.30659,99.04795,1.468681,92.29655,99.40202,98.82157,93.88643
2013-08,99.36388,99.70595,98.53642,99.17666,1.755457,92.67686,99.56392,99.03961,94.05341
2013-09,99.87485,100.0231,98.79577,99.32191,2.024925,93.09158,99.70431,99.22868,94.22628
2013-10,100.428,100.4354,99.06412,99.47219,2.290163,93.52145,99.82173,99.38682,94.40498
2013-11,101.0717,100.9427,99.34741,99.63084,2.621342,93.97211,99.92062,99.51999,94.58939
2013-12,101.5979,101.3619,99.64826,99.79932,3.054029,94.44608,100.0084,99.63824,94.77945
2014-01,101.8652,101.7003,99.94089,99.9632,3.546969,94.9189,100.0938,99.7532,94.97504
2014-02,102.1576,101.9047,100.2019,100.1094,4.06795,95.36826,100.1838,99.87445,95.17607
2014-03,102.3268,102.1796,100.392,100.2159,4.517865,95.75638,100.2811,100.0055,95.38245
2014-04,102.3859,102.2937,100.4816,100.266,4.815557,96.05444,100.3802,100.1389,95.59405
2014-05,102.0445,102.2555,100.4524,100.2497,4.891622,96.24422,100.4724,100.2631,95.81078
2014-06,101.4815,102.1857,100.3326,100.1826,4.752209,96.35193,100.5503,100.368,96.03255
2014-07,101.0695,102.1591,100.1652,100.0889,4.465763,96.41829,100.6123,100.4515,96.25923
2014-08,101.1059,102.1629,99.99549,99.99378,4.110555,96.48639,100.661,100.5171,96.49074
2014-09,101.5273,102.2772,99.86693,99.92178,3.766927,96.59827,100.7026,100.5731,96.72698
